"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1909: President Theodore Roosevelt Visits the Relief Home at Laguna Honda
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1908: The Construction of Clarendon Hall
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","1926: Mayor James Rolf, Jr. Dedicates the Laguna Honda Main Hospital Building"
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","1947-1954: University of California, San Francisco . . ."
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1929-1941: Patient Care During the Great Depression
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1949-1958: Community Activities at Laguna Honda
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1865-1906: The Foundation of the Almshouse and Relief Home at Laguna Honda
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","1934-1954-1982: Glen Wessel's Murals are Created, Lost and Rediscovered"
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1908: The Construction of Clarendon Hall
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","1954-1997: Virginia Leishman, Nursing Director"
"DeStaebler, Stephen","{""type"":""Point"",""coordinates"":[-122.451725,37.7277894]}",Fireplace and Hood
"DeStaebler, Stephen","{""type"":""Point"",""coordinates"":[-122.3994074,37.784337]}",Man with Flame
"Deutsch, Richard","{""type"":""Point"",""coordinates"":[-122.5069516,37.7416749]}",Propeller
"Di Colbertaldo, Vittorio","{""type"":""Point"",""coordinates"":[-122.40587,37.802409]}",Christopher Columbus
"Di Suvero, Mark","{""type"":""Point"",""coordinates"":[-122.417975,37.776651]}",Sea Change
"Diebenkorn, Richard","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Untitled
